,train-rmse-mean,train-rmse-std,test-rmse-mean,test-rmse-std
0,30522.5945312,170.48923582314924,30516.3527344,673.7080360904957
1,30522.49375,170.49385465846456,30516.2566406,673.711399242189
2,30522.366797000002,170.49207816863108,30516.135156199998,673.7089782782256
3,30522.1992186,170.49242099723236,30515.9472656,673.7211783334363
4,30521.951172,170.49627940485266,30515.7027344,673.7161107355959
5,30521.6082032,170.49388954422938,30515.3546874,673.723401013356
6,30521.119531199998,170.49705775504165,30514.8808592,673.7169950003168
7,30520.469531400002,170.49897290404692,30514.2371094,673.714893576235
8,30519.5816406,170.50470606783222,30513.342578,673.7046268239476
9,30518.3789064,170.50106970093455,30512.1023438,673.734905002149
10,30516.6695312,170.51332469093788,30510.3871094,673.7500360022536
11,30514.3351562,170.52123273704427,30508.029687399998,673.7718111712925
12,30511.120703200002,170.53811571257785,30504.792578200002,673.8238490332469
13,30506.7003906,170.53704529026734,30500.345703,673.8665806317812
14,30500.6023436,170.5446357863686,30494.2511718,673.9559211833397
15,30492.3230468,170.57260775422736,30485.9589844,674.0197454642094
16,30481.0273438,170.61241983281153,30474.660547,674.1627637033007
17,30465.6839844,170.65499857075602,30459.310937399998,674.3453951948094
18,30445.0820314,170.6865360679183,30438.635155999997,674.5517545981978
19,30417.314453,170.77696236812025,30410.914452999998,674.8516257076732
20,30380.4910156,170.82446578672295,30374.0484374,675.229545558462
21,30331.8828124,170.92210858626885,30325.4863282,675.7217609022463
22,30268.6121094,170.975498223419,30262.2617186,676.3469667386828
23,30187.189453,170.9944681848161,30180.9296876,677.1664808845085
24,30083.9652344,170.9950170495579,30077.7851562,678.0854456758963
25,29954.905468599998,171.01085980933766,29949.0832032,679.0076019493614
26,29797.05625,170.87306748077432,29791.665625,680.0680297856301
27,29606.646093800002,170.86169700205218,29601.8859376,680.8070104566826
28,29383.834765800002,171.21501539987878,29380.1609376,680.814459754961
29,29126.163671600003,171.47982908048266,29123.9941404,680.4801097640566
30,28836.281640399997,169.91754718402413,28836.271093800002,681.54692054143
31,28515.2753906,168.3709322285633,28517.9402344,681.8442272876533
32,28168.5273438,168.23560116737067,28174.7433594,680.0169017310919
33,27806.603906199998,168.01504121131623,27817.4203126,678.020673354094
34,27434.7312498,167.8765649932392,27451.331640800003,675.7920243561161
35,27059.3660156,168.47823538628816,27083.1257812,672.8925060525472
36,26688.6613282,166.7635199875364,26720.407031400002,673.2883036142101
37,26331.3089844,166.54938018072298,26373.3402346,673.4427181095123
38,25990.048047,167.02328468015227,26043.0070312,673.2163153778687
39,25664.9277344,169.03533719371316,25729.4984376,672.6155085308991
40,25364.0109376,172.07132880542275,25441.8699218,672.0542660172562
41,25087.7078126,172.62828776566272,25179.884375,677.1509387710531
42,24836.9066408,174.8147659231779,24944.520703,680.7897822106997
43,24612.9046876,178.72335469148655,24737.3914062,683.2365489442577
44,24412.0265626,180.85668192796123,24553.0902346,688.5552636976583
45,24229.1542968,182.17935091746986,24388.132422000002,694.6664629265881
46,24069.119531199998,183.22822016251564,24244.8367188,701.2816969552446
