,train-rmse-mean,train-rmse-std,test-rmse-mean,test-rmse-std
0,30522.6496094,170.4906326876908,30516.3992188,673.7106167913438
1,30522.625781400002,170.49104226980901,30516.3785156,673.7095370929692
2,30522.601953399997,170.4888501054057,30516.357812399998,673.7094249569876
3,30522.576562399998,170.48870689178895,30516.331249800005,673.7091710377192
4,30522.5457032,170.49306235900485,30516.3050782,673.7108276929148
5,30522.511328,170.49291598317603,30516.273047000002,673.709527470401
6,30522.4761716,170.4932723164491,30516.2390624,673.7103377894688
7,30522.4460938,170.49174566168108,30516.203125,673.710812198001
8,30522.398047000002,170.49124156404528,30516.1644532,673.7086146399514
9,30522.355078200002,170.49222049870113,30516.120703200002,673.7092378673628
10,30522.313672,170.49285428091525,30516.0683594,673.7120406741989
11,30522.2585938,170.49312152428953,30516.0089844,673.7204472821653
12,30522.196875,170.4931273045944,30515.943749799997,673.7204143310942
13,30522.1234376,170.49538969346403,30515.8789064,673.7205087419377
14,30522.0382812,170.49583490682983,30515.802343800002,673.7255284450988
15,30521.9628906,170.49599363747336,30515.716797,673.7190005375404
16,30521.8726562,170.494311241648,30515.626562600002,673.7210518201992
17,30521.7644532,170.49586920130807,30515.520703,673.7217302882708
18,30521.655468599998,170.49474423044865,30515.40625,673.7252829098351
19,30521.533203,170.4940672588315,30515.278906400003,673.7250181372123
20,30521.3871096,170.4970759422467,30515.1394532,673.7192045392526
21,30521.225,170.4958930014735,30514.9871094,673.72280742436
22,30521.051171799998,170.49458819776757,30514.817578,673.7183208431627
23,30520.8675782,170.49357554039707,30514.6296874,673.7145278483465
24,30520.6601562,170.49565975616983,30514.43125,673.7197439049305
25,30520.4375,170.5018041982675,30514.2046874,673.7152995057205
26,30520.2160156,170.4972875046902,30513.9605468,673.7027862335613
27,30519.935547,170.5017634634675,30513.683203,673.7092759937146
28,30519.6160156,170.5051995937786,30513.374609600003,673.7043796467439
29,30519.2800782,170.5002534766503,30513.031250199994,673.7160389923035
30,30518.9031248,170.5052423342467,30512.651953,673.7313505434932
31,30518.5171874,170.50466468435147,30512.248828,673.7365624651435
32,30518.06875,170.50555803415034,30511.7808594,673.729174108455
33,30517.5613282,170.5175456025646,30511.2785156,673.7366648185364
34,30516.999218599998,170.51268491624245,30510.7179688,673.7488853492365
35,30516.3726562,170.5116395018586,30510.1015624,673.7572923056142
36,30515.7082032,170.51631545127373,30509.4187498,673.7542938432234
37,30514.9714844,170.5173057030126,30508.672656400002,673.7630024526549
38,30514.126172,170.5209269332567,30507.8410156,673.7795692935103
39,30513.245703200002,170.52256648662825,30506.9125,673.7864503570252
40,30512.2460938,170.52913067289265,30505.892578399995,673.8005870734563
41,30511.1203126,170.5391480620894,30504.7906248,673.823198915634
42,30509.884375,170.52741196607218,30503.5753906,673.841300948849
43,30508.5324218,170.52987292932903,30502.2035156,673.8544991050456
44,30507.04375,170.53828194372258,30500.6960936,673.854658956685
45,30505.392968599997,170.5345945918519,30499.0347656,673.884693072971
46,30503.551953,170.54365004421612,30497.195312800002,673.9112772139681
47,30501.541406199998,170.55110932099134,30495.1718748,673.9443384097651
48,30499.3101562,170.5565323619363,30492.9468748,673.9719405340044
49,30496.866797000002,170.56752785435347,30490.4757812,673.992316636779
50,30494.1648438,170.5715646661465,30487.772265800002,674.025354615745
51,30491.1554688,170.57960512193085,30484.7914064,674.0487685339708
52,30487.859375,170.58175337309714,30481.473828,674.0869373010563
53,30484.2734374,170.59656025139202,30477.8718748,674.1320118747396
54,30480.276172,170.6096010070661,30473.8675782,674.1711939530878
