,train-rmse-mean,train-rmse-std,test-rmse-mean,test-rmse-std
0,30522.6546878,170.4903302092063,30516.403515399998,673.7118407942429
1,30522.635155999997,170.4906563829433,30516.3875,673.7096070405653
2,30522.618750200003,170.48920072655184,30516.3714844,673.71089156011
3,30522.5988282,170.4885292433411,30516.355078200002,673.7080188716287
4,30522.580468400003,170.48852359339926,30516.333593800002,673.7098743162311
5,30522.557422,170.49120443498452,30516.314062600002,673.7128531117689
6,30522.5332032,170.49257674431487,30516.291406199998,673.7113582379741
7,30522.500781400002,170.49308327846074,30516.2644532,673.7097904583691
8,30522.475780999997,170.49339661744438,30516.238671799998,673.7096347478831
9,30522.451172,170.4916269344179,30516.2121094,673.7106415404513
10,30522.4222656,170.49135996486092,30516.1824218,673.7103954828317
11,30522.3835938,170.4912654718324,30516.1503906,673.7099410340365
12,30522.351952999998,170.49317564750567,30516.114843800002,673.7119040429947
13,30522.317968800002,170.49305660491592,30516.0749998,673.7118645093769
14,30522.276953200002,170.49338289330203,30516.0289062,673.7181655312768
15,30522.2343748,170.49281980175462,30515.9816406,673.7203540248837
16,30522.178124799997,170.49309292636414,30515.9277344,673.7201904561883
17,30522.121875,170.49577560094306,30515.878515800003,673.7203781082709
18,30522.0597658,170.49397707666094,30515.817968800002,673.7231156988274
19,30521.996484199997,170.4970728807381,30515.754296799998,673.7241100742374
20,30521.936719,170.49525244240277,30515.686328,673.7166540506261
21,30521.862890800003,170.4952606721127,30515.6148436,673.7229012221272
22,30521.774219000003,170.4949605370382,30515.529297,673.7222325219847
23,30521.6941406,170.49315358100807,30515.444922000002,673.7228880196246
24,30521.6007812,170.49314226024003,30515.3484374,673.724216146752
25,30521.4996094,170.4941207498319,30515.2472656,673.7210142705762
26,30521.3851564,170.49561684737864,30515.1375,673.719777049366
27,30521.2667968,170.49342880675837,30515.0230468,673.724586799194
28,30521.1289064,170.49718186357325,30514.8921874,673.7175690934508
29,30520.9933594,170.49351043137085,30514.754297,673.716259247709
30,30520.8417968,170.49253736161694,30514.6054688,673.7158806495669
31,30520.6828128,170.49554099035362,30514.450781,673.7174734389102
32,30520.5054686,170.49807000420134,30514.278515399998,673.7179032906533
33,30520.3472656,170.50066366744795,30514.090625200002,673.708172175378
34,30520.1503908,170.5010388361682,30513.896094000003,673.7048547946937
35,30519.93125,170.50184692783967,30513.6785156,673.7097099610122
36,30519.6804686,170.5052612853516,30513.4398438,673.7093942208381
37,30519.432422,170.50038455137727,30513.1785156,673.7110882600839
38,30519.142578,170.50278728183986,30512.8984376,673.7238671562965
39,30518.8554686,170.50683838091263,30512.5996094,673.7352565713945
40,30518.5558594,170.50693205197803,30512.285546799998,673.7348396454618
41,30518.226172000002,170.50565468821924,30511.9328126,673.729484189513
42,30517.8339846,170.51197803966178,30511.5515626,673.7332747869463
43,30517.4257812,170.51164028406507,30511.1492188,673.7363385681084
44,30516.987499799998,170.51286796569522,30510.704687600002,673.7502538677988
45,30516.5003906,170.51287016458912,30510.230078200002,673.7523337084045
46,30515.991015800002,170.51143912366,30509.7195312,673.7548194031481
47,30515.4589844,170.51467834909144,30509.1613284,673.7585064842704
48,30514.865624799997,170.5154705292226,30508.564453400002,673.7689459032174
49,30514.2195312,170.5210197165216,30507.9160156,673.7781683692108
50,30513.5246094,170.5215167299819,30507.2101562,673.7755826706328
51,30512.7792968,170.5313027780859,30506.4546874,673.793390521793
52,30511.9828126,170.5325969851825,30505.6328124,673.8083973124892
53,30511.0914062,170.53888126713088,30504.7628906,673.8250885441988
54,30510.140625,170.52193218966656,30503.810547,673.8344599468735
55,30509.105859599997,170.53323516829312,30502.7863282,673.8432520293904
56,30508.0035156,170.52444765302445,30501.674218599997,673.8641209050627
57,30506.827343599998,170.5330874671884,30500.4691406,673.862719205327
58,30505.5339844,170.53566349821475,30499.1765624,673.8837404442129
59,30504.1394532,170.54133640370713,30497.771875199996,673.9047778314651
60,30502.6160156,170.5385819669287,30496.272265400003,673.9379159747333
61,30501.001953,170.54632209174426,30494.63125,673.9543702636676
62,30499.2332028,170.55653755543221,30492.876562799996,673.9715440519532
