,train-rmse-mean,train-rmse-std,test-rmse-mean,test-rmse-std
0,30522.647265400003,170.49180815655112,30516.3976562,673.7102682529303
1,30522.6222658,170.4903764508604,30516.3769532,673.7102401362437
2,30522.596093600005,170.48885030280343,30516.3539064,673.7075755429789
3,30522.569140800002,170.48927632426327,30516.3253906,673.7108729124532
4,30522.5398436,170.49255277548363,30516.2980468,673.710525783479
5,30522.498047199995,170.49296472980288,30516.262109199997,673.7110848713882
6,30522.4628908,170.49253584033133,30516.2273436,673.7096431513351
7,30522.4289064,170.49176458049573,30516.188672,673.7105776029503
8,30522.3789062,170.49209624480602,30516.1464844,673.7088472938938
9,30522.3363282,170.49303256634164,30516.0949218,673.7119211960102
10,30522.283984600002,170.49417313917502,30516.0371094,673.7164560880278
11,30522.2273438,170.49235620725196,30515.9746094,673.7210400808932
12,30522.152734199997,170.49608312550123,30515.9015626,673.7219432606328
13,30522.0679686,170.4946893802972,30515.8277342,673.7231161256946
14,30521.9824218,170.49690237377163,30515.7410154,673.7202233571834
15,30521.892968599997,170.4962769411793,30515.646875,673.7190357851424
16,30521.7839842,170.49572601148702,30515.5367186,673.7216354614244
17,30521.6710938,170.4947441668204,30515.4203126,673.7245610969123
18,30521.5429688,170.49319936950025,30515.2890626,673.7227362765314
19,30521.3910156,170.49703523316242,30515.1429688,673.7203509782053
20,30521.21875,170.49659930019942,30514.9808594,673.7233033923608
21,30521.038672000002,170.4940415423627,30514.8046874,673.7146390408691
22,30520.8410156,170.49336793819202,30514.6046876,673.7165135862542
23,30520.619922199996,170.49596169139124,30514.3953124,673.7204157470969
24,30520.394530999998,170.50133518369327,30514.1457032,673.7123582728327
25,30520.1410158,170.4991995030165,30513.8859374,673.7050555320825
26,30519.8320312,170.50017322720282,30513.5847654,673.7059415460502
27,30519.4988282,170.50310753792567,30513.251172,673.7089768975693
28,30519.113671799998,170.50284701542404,30512.870703200002,673.725959569231
29,30518.734375,170.50654076359586,30512.4703124,673.7316393286862
30,30518.2988282,170.50447915726778,30512.0125,673.7338752933447
31,30517.776953,170.51275496124057,30511.501562200003,673.7371681275528
32,30517.212500200003,170.51251984338649,30510.938671999997,673.7430704792619
33,30516.5863284,170.51442196052284,30510.3121094,673.7523344628156
34,30515.9,170.51135452586448,30509.622656400003,673.7549953353654
35,30515.1601562,170.5180659241251,30508.85625,673.7594484774364
36,30514.3007812,170.52138134225547,30507.9960938,673.7721502625353
37,30513.375,170.52072736948745,30507.037890800002,673.7809607042755
38,30512.3289062,170.52817732596748,30505.9839842,673.7976996828854
39,30511.162499799997,170.5387442236753,30504.8320312,673.8224708685116
40,30509.8687498,170.52610521595156,30503.5574218,673.8405431098782
41,30508.4347656,170.53030040454047,30502.1066408,673.8614024670915
42,30506.8683594,170.53276151334956,30500.509765799994,673.863721918478
43,30505.111718599997,170.53018011788456,30498.7378906,673.8833613529349
44,30503.125781400002,170.54231501791813,30496.7851562,673.9248551389455
45,30500.978125,170.5477402734959,30494.610547,673.9555500260038
46,30498.5871094,170.55536236465394,30492.206640800003,673.9749581760528
47,30495.9390624,170.57675541407278,30489.528906599997,674.0171783136642
48,30492.939843599997,170.56804548555894,30486.588281199998,674.0356805063736
49,30489.6906252,170.57945101590542,30483.317969000003,674.071770684586
50,30486.115625,170.58827166375227,30479.686328400003,674.1041233273529
51,30482.058203200002,170.61888053562825,30475.689062600002,674.1457555044499
52,30477.6222656,170.61619081619858,30471.2523438,674.2049232872344
53,30472.6429688,170.63579541835722,30466.3117188,674.264839684621
54,30467.2433594,170.65608710697413,30460.862109600002,674.3114347912466
55,30461.2726562,170.6734384021812,30454.8136718,674.3767818046604
56,30454.6160156,170.6845533062652,30448.161328,674.4435854137735
57,30447.2726562,170.7075467002881,30440.78125,674.5201011776975
58,30439.1324218,170.70664532848153,30432.6472654,674.6285164916748
59,30430.058203200002,170.75439898736272,30423.6472656,674.7402918841406
60,30420.120703200002,170.75212244334128,30413.724218800002,674.8490053722961
61,30409.192969000003,170.81493953202812,30402.783593599997,674.9735943990988
62,30397.151953200002,170.8494601082279,30390.6613282,675.0917752342397
63,30383.8359376,170.8848986307304,30377.3535156,675.2004275793877
64,30369.1503906,170.89959128949846,30362.6683594,675.3726839531142
65,30353.002343599997,170.93832701791317,30346.4976562,675.5499379896215
66,30335.2632812,171.00441487121498,30328.7109374,675.7537669231456
67,30315.7117188,171.05553766338815,30309.1820314,675.9304287627923
68,30294.2480468,171.10089156114282,30287.703515399997,676.1400339042071
69,30270.773827999998,171.1773811913473,30264.2480468,676.3506176084832
70,30245.1664064,171.1667427850593,30238.6308594,676.6852186495531
71,30216.9300782,171.23061899331483,30210.3812502,676.9356676669335
72,30186.165625,171.37557209936244,30179.608593599998,677.1606018022275
73,30152.348046799998,171.42942952025874,30145.8953126,677.4680998373906
74,30115.5359376,171.51847685632538,30109.0339842,677.7853972532923
75,30075.3898438,171.62391562078534,30068.9191406,678.1376681204233
76,30031.6347656,171.7700498518648,30025.260547,678.5052783066009
77,29984.244530999997,171.90782441763056,29977.876171999997,678.8475935567739
78,29933.01875,171.94906108714085,29926.7617188,679.2726010823246
79,29877.2125,172.06127088136753,29871.125,679.6674088693611
80,29817.9378906,172.31520015775942,29811.932422,679.8346730800072
81,29752.924218399996,172.4421592446656,29747.1152344,680.2443559880369
82,29683.557030999997,172.99396665323874,29678.035547,680.2161006931144
83,29609.2109376,171.3419700362463,29603.9273436,682.6359171364707
84,29530.65625,172.71184423124802,29525.814453400002,681.7104182535076
85,29445.9316406,170.87477553798752,29441.3683594,684.1973112025362
86,29355.416405999997,172.28106000751566,29351.1496094,683.4419988706903
87,29258.1492186,172.68571033727213,29254.3,683.5302700722742
88,29154.1445312,172.95762213445101,29150.7027344,683.7198372562848
89,29043.9980468,173.21625314707677,29040.9890624,683.8900799828955
90,28927.9933594,173.81903912920214,28925.4964844,683.6279480330786
91,28805.1082032,174.08749388045047,28803.2847656,683.897964084685
92,28680.5468748,173.92362597309133,28679.651172,684.8478613824082
93,28546.5867186,174.77382313134407,28547.101952999998,684.262710391438
94,28409.8121092,179.1713672859648,28411.2472658,680.4721342289445
95,28268.238672,183.39838929957148,28271.329687600002,676.4002084146464
96,28123.7886716,183.74356547164933,28127.6394532,676.7626432747318
97,27968.2476562,186.6401802528266,27973.216797,673.8915731624122
98,27805.970703,187.02156258990345,27812.88125,673.447163340861
99,27654.7757816,199.57998664450295,27663.8121094,662.5767045245844
100,27494.6839844,204.579366462693,27504.4902346,656.3916402550072
101,27321.2832032,204.94411473237213,27332.436719,655.5448813967744
102,27165.1609374,224.23939047517177,27178.1835938,635.501612994853
103,26999.719531400002,218.3847768086682,27012.703515399997,636.1161317192004
104,26832.9878904,224.7524076189544,26847.2714846,631.3361222267
105,26652.6253906,225.55794844825627,26668.7894532,630.7209270933597
106,26484.7187498,232.38022722680495,26501.9132814,628.2513602034669
107,26319.8140624,244.48139312973686,26338.3484374,625.4173085024764
108,26141.5316406,243.15107306130994,26164.3585938,627.4820293086206
109,25979.808203,254.49999928749244,26009.2414062,611.9913295591277
110,25823.0140626,231.52489553170437,25857.3769532,638.0682114217274
111,25657.2847656,231.17951726146532,25697.0566408,639.8946696954579
112,25510.3421876,211.37747999280822,25553.3800782,655.6443188742757
113,25371.394922,227.41738641939182,25418.2863282,651.3113128894926
114,25235.284375,228.2349851040267,25281.2199218,640.5609066337379
115,25104.5753906,231.85136482176566,25148.4453126,633.9914712277839
116,24978.8195314,240.38893108742576,25025.432422,630.5867540550769
117,24864.2921876,224.29805368399937,24912.1277344,649.5968665892024
118,24756.5066406,238.67097855548465,24804.7558594,642.1196055724823
119,24647.3917968,218.49538223195412,24697.660547,665.2944163893399
120,24550.6664064,216.09131807790237,24603.3816406,676.0770385614773
121,24440.815625,210.81190489573981,24495.5335938,685.4469838873664
122,24345.6476562,197.18163893854776,24403.7664062,698.7243130137655
123,24268.268750199997,196.71203507005856,24328.8355468,706.0043932177791
124,24183.5839844,192.86338240911292,24245.8152342,714.2992328114325
125,24110.3066404,183.53644238575626,24178.3230468,727.4261942923289
126,24044.7015626,189.3055334682523,24111.9515622,732.7246435046013
127,23987.6007812,190.19552138657724,24054.808203200002,733.2244181905946
128,23946.8375,176.4568160411722,24018.0371094,749.5951628283591
129,23890.9085938,169.17062748394846,23964.7851562,759.3788560357692
130,23829.4792968,173.4770580399359,23910.4304686,754.6169729504392
131,23791.530078,173.6087248333185,23878.9492188,751.8912566579162
132,23761.685547,172.7052414212854,23854.489843800002,754.1553485064975
133,23732.005468800002,175.28229159126062,23828.7105468,754.2772924719592
134,23705.9953124,167.9090658366403,23803.326562399998,766.1763929122943
135,23671.123047,167.57154504082482,23777.9195312,781.056950554138
136,23646.466797200002,165.28833432844485,23756.594921599997,783.0371288123398
137,23622.5304688,172.8061639350778,23735.1632812,774.2675786553127
138,23598.6796876,178.09220685841228,23717.451172,771.7946863363424
139,23567.8964846,187.57154368578924,23688.6960936,764.2532288813911
140,23548.3484376,188.12357546853536,23673.5683594,765.0117059163262
141,23534.31875,178.96921694909258,23657.410547,779.7424498682541
142,23523.2269532,179.82499780358532,23649.660547,780.2536256136945
143,23508.918359199997,181.29882345093708,23637.74375,780.3093389082903
144,23498.4265626,186.92071963613392,23625.626562600002,770.1374948780245
145,23486.058984199997,190.76086075336906,23614.5542968,769.8381923663532
146,23474.8535154,197.718582151233,23609.2488282,767.1905287134407
147,23462.4421874,192.01093680389423,23599.4425782,778.4752795591932
148,23450.2550782,190.05558723284463,23590.6328124,781.1088019941108
149,23441.8746094,190.1881989783419,23583.4855468,780.8880988564301
150,23436.5125,190.9529594873351,23580.435546599998,779.0210077455636
151,23428.0246094,199.41641545724394,23574.7773438,777.9084433707611
152,23422.8699218,198.48330467051767,23570.0410156,783.3165065671406
153,23420.935156400003,198.09243844753732,23566.594922,783.7883127977002
154,23418.1839844,198.18450529654604,23561.7558596,781.8330094080778
155,23415.1941406,198.25018998153988,23559.8777344,782.6251751222467
156,23410.7167968,200.2432529562881,23555.673437600002,780.5401046657772
157,23408.3515626,199.72294251963567,23553.5625,779.8425631019411
158,23405.955078,197.844182614583,23550.8464842,781.711499370744
159,23404.7355468,199.39949080572563,23549.467187399998,780.1643619066135
160,23397.646875,189.5493559261043,23541.7542968,791.4673506285552
161,23396.6410156,188.21480523051852,23540.6343752,793.2650969169737
162,23394.864453,188.6013149897364,23539.7957032,792.1862608696794
163,23393.834375,189.11127463393626,23538.6027344,791.8541370164359
164,23389.7726562,191.27268453078096,23536.8882812,791.700772250007
165,23384.904297,191.39271926331296,23535.1144532,792.5216349517519
166,23379.2804688,192.14227531176044,23532.2683592,793.1370918243473
167,23377.3121092,189.67642896244934,23530.506640400003,796.5176473981389
168,23375.8027344,190.68869099543616,23531.1597656,795.6207647030766
169,23370.6339844,190.44983962806904,23527.7753906,796.6041459728049
170,23368.6164064,191.66666061572613,23524.4562502,793.5771160314988
171,23367.426171799998,192.7528967913125,23524.0445316,792.6388383843322
172,23367.1742188,191.98116394691138,23523.819140400003,793.8015709888855
