,train-rmse-mean,train-rmse-std,test-rmse-mean,test-rmse-std
0,30244.480078,168.36880197320852,30241.264844,671.6854581624576
1,29982.5164062,160.57003708834347,29982.494530999997,676.6840836893705
2,29727.0707032,160.2648028508315,29730.317968800002,673.951365612045
3,29479.8839844,156.34143817048016,29486.0695314,674.660879027402
4,29246.0648438,155.81003397768757,29254.438281400002,672.4948474168343
5,29019.548437600002,153.19294617700152,29031.2722654,673.6111188606492
6,28798.9386718,149.76282825291673,28814.8308594,675.5343760903785
7,28591.6499998,147.66366456807756,28610.4421874,676.3451784340541
8,28388.3382814,145.8436420270994,28410.159375,677.4660639737398
9,28191.3804686,145.49387730501962,28216.230078200002,676.9411363574515
10,27999.9863282,147.33993236513197,28027.5890626,673.8907330509526
11,27820.8679686,140.73132131718677,27851.7957032,680.7437345255667
12,27645.1765626,143.38969666642294,27679.0792968,677.5088367700474
13,27476.1949218,146.1433529022185,27513.042578,674.4275160078383
14,27313.433203,147.35992804933292,27353.8234374,673.2184762246005
15,27156.686718599998,150.14144893339585,27199.654297,670.2987290391359
16,27007.482031,151.57811956970664,27053.2636718,669.1876938559362
17,26863.5054686,153.8516956549655,26912.0382812,667.199285298013
18,26727.871875200002,151.60516967489286,26779.1402342,671.0253473330233
19,26595.497265400005,154.7061216992202,26649.8222658,669.4587369601294
20,26468.451172,157.2121505447531,26524.817578,667.4025083451039
21,26346.5132812,159.1705860474062,26405.4628906,666.8906834375998
22,26227.219140399997,159.90277306620024,26289.3984374,668.3955332269303
23,26112.4503906,162.06290536683426,26177.8328126,668.3691840275187
24,26002.3976564,161.5111982390257,26070.153516,671.0489053391628
25,25896.0878908,161.63488848883532,25966.901953200002,673.0881489145911
26,25794.636328200002,163.75876406220615,25868.262109199997,673.2636703856402
27,25697.1894532,165.98939560012636,25773.6726562,673.4264062565657
28,25605.5070312,167.98100970552358,25685.005468800002,673.4390484991517
29,25515.876953,170.77270447150332,25598.1148436,672.6536884340537
30,25429.928515800002,171.16705910942568,25514.483593599998,674.1820570667176
31,25345.3914062,171.02612261979104,25432.9269532,677.4905963103507
32,25266.5605468,171.3006313444586,25356.7257812,679.8449628957133
33,25189.8128906,173.56063327307552,25282.521093800002,679.6592639463709
34,25115.404687199996,173.09746443370088,25210.6625,682.9581420847366
35,25044.2039062,173.7217182768051,25141.7894532,684.8215835570165
36,24977.4242188,174.45087484466814,25077.4144532,686.4786609164184
37,24912.153906400003,175.1481086999004,25015.233984600003,688.532659858868
38,24851.1820314,177.7311652039974,24957.154297,688.3187442832659
39,24792.166406199998,178.36073138819503,24900.403906400003,690.0218047637184
40,24734.3242186,179.30261705419466,24845.4050784,691.9882291231397
41,24678.317968800002,180.52984147770758,24792.2355468,693.2578586323734
42,24624.432422,181.22298859928756,24740.6835938,695.0861644100125
43,24572.732812399998,180.77984387394233,24691.610547,698.5375300783677
44,24523.377343599997,180.72237205305476,24644.876172,701.561779204417
45,24476.7601564,180.57015808630362,24600.341797,704.4228185327429
46,24430.9589844,181.50017431816153,24557.064453000003,705.6357675125619
47,24387.1046876,182.6828640822489,24515.8175782,706.9024493888113
48,24345.0058594,183.06120440230268,24476.116797000002,708.9104066742772
49,24303.528125,184.26696024286554,24437.1496094,710.2247004773026
50,24264.635156199998,185.0475460821747,24400.9464844,711.8222359342948
51,24226.571875200003,186.13378611708487,24365.238671799998,713.2372594513231
52,24190.240625,186.01299269203034,24331.2734374,715.7836502657747
53,24155.284374799998,186.4060340814435,24298.894921799998,717.7853650418725
54,24122.1828124,187.34491523424802,24268.4628906,719.3555948222021
55,24089.5957032,188.29266532479647,24239.0183592,720.949195384444
56,24058.0238282,189.37563688816735,24210.2121094,722.3527682816814
57,24028.010156199998,189.889630450544,24182.7046874,724.0198141338648
58,23998.8839844,190.44902647902157,24156.3089844,725.8128778248538
59,23971.680077999998,191.07495134409083,24131.5191406,727.2108534570029
60,23944.8066408,191.59468171063168,24107.248828,729.0705541528607
61,23919.034375,192.31485740916858,24084.067578,730.5307025918514
62,23894.434765399998,192.49089704321037,24061.720312600002,732.8290377540953
63,23870.5906248,192.59795831627608,24040.4039062,734.7630158606196
64,23847.7488282,193.0780157845384,24020.0101564,736.3563047621748
65,23825.826953,193.66117738776683,24000.7113282,737.9354163753634
66,23804.234765399997,194.09866928889676,23981.754297,739.3037293824044
67,23783.543750200002,195.2436886411089,23963.6789062,739.9319261612488
68,23763.290234199998,195.62361209407968,23945.960547000002,741.6465874265468
69,23744.011719000002,196.41573470899465,23929.192578,742.860726598691
70,23725.601952999998,197.10260880796704,23913.6894532,744.045243296791
