,train-rmse-mean,train-rmse-std,test-rmse-mean,test-rmse-std
0,29862.551953,165.08839950626157,29869.8492186,664.9464676256592
1,29265.9546874,166.46965155373866,29284.653125,650.8370752250704
2,28729.683203,158.02028902126767,28762.1632812,655.1328657879543
3,28364.427344000003,222.10831922522797,28399.633202800003,597.2282689305032
4,28039.973046799998,192.89902024049385,28084.2339844,615.9164574318455
5,27681.1851562,234.0720472628463,27737.454687600002,602.9104734370985
6,27353.0964842,207.09805308351636,27421.427343800002,680.809363811948
7,27017.3011722,225.90464805099677,27109.864843800002,635.8026516383754
8,26675.638281,237.39432603699223,26778.2753906,627.3835794762349
9,26438.6414062,250.11237609693327,26562.768359200003,646.9267945537708
10,26213.326172,312.0868137668956,26351.1914064,592.7171530990572
11,25980.6847656,312.354531352245,26126.1769532,572.868604345484
12,25731.6960938,285.361409047757,25883.353905999997,593.4406577376814
13,25514.790625,277.29054222801125,25678.4855468,589.5633519769088
14,25348.1226562,240.27536599607225,25515.279297,612.3932417830466
15,25175.6371094,252.6985184512849,25344.98125,611.6588260239971
16,24997.5214844,245.63529820985943,25174.983984600003,624.4634634550911
17,24845.314453400002,220.87890168492387,25035.3222656,664.0171162251274
18,24710.4902344,202.0497529850425,24915.3808594,695.5869611272069
19,24594.205078,217.85986325891926,24807.073828200002,681.4304248116412
20,24466.1800782,210.13187318686596,24693.9410156,695.5368927047513
21,24355.3605466,217.80982367930235,24593.8996094,689.0254169515907
22,24240.8749998,216.43831170453785,24494.7265626,692.506706492036
23,24152.796093599998,208.78520107062621,24420.6191406,717.6446450421968
24,24058.4191406,205.96213230757712,24337.669922,724.2034398572648
25,23987.3585938,219.6242024119222,24281.3773438,710.7990075283193
26,23909.7789062,215.42180602248817,24210.3699218,720.1442512139776
27,23838.6374998,213.67780485826415,24147.6160156,729.6402563497401
28,23782.8734376,226.63458412765286,24105.5710938,710.8797271760073
29,23722.0898434,224.08062909443842,24058.379296799998,715.7748349715118
30,23662.7136718,223.47065587297408,24005.2433594,724.3808508973443
31,23608.5253904,225.77024535279136,23959.7164062,727.2693143676288
32,23568.838280999997,229.8239381660467,23935.909375,725.7160991456369
33,23526.0808594,229.48273057807208,23906.3265628,729.3235914969011
34,23491.3632814,227.99732011264402,23876.5160158,731.6412571839908
35,23451.8652344,226.13316270085303,23848.3554688,735.1485234153564
36,23418.1632812,224.07113863795075,23821.7117186,737.118572142687
37,23393.7960938,230.07682815159328,23805.671875,730.6462369604748
38,23359.9855468,230.7659664682663,23781.6015626,735.0949192292484
39,23330.6992188,229.37512370470577,23759.0332032,740.1568625160942
40,23303.867578,229.03400270550503,23743.7738282,744.8719363456859
41,23275.2871094,227.4762878646065,23725.2792968,748.6698556769567
42,23254.0671874,223.0711445123936,23709.3832032,755.5364565099384
43,23236.0046874,225.05122360982702,23699.0003906,758.1464031694319
44,23217.3488284,229.61375602895765,23688.5265626,754.2517847925544
45,23204.6808596,232.04439737839573,23682.3050782,753.4259789417603
46,23188.19375,226.9512976548583,23674.0593748,755.0456485689178
47,23174.531640399997,224.54827957672228,23665.849218800002,762.221622682529
48,23154.9921876,227.10250196858874,23658.4328124,767.3933166290813
49,23139.8402344,223.20348810410306,23649.835155999997,769.1148062905975
50,23125.0125,221.73967609921058,23642.16875,773.4436124298145
51,23107.2347656,223.1353496152734,23636.1875,781.547003354876
52,23099.307422,220.26645722229043,23632.5035156,783.6824920374361
53,23083.2265626,217.88381254130687,23625.0214844,786.1289807122752
54,23072.7128906,222.3223014359767,23623.6582032,785.4743304916068
55,23063.5367186,220.58036970693266,23620.4101564,788.5237880492278
56,23053.7269532,219.1108476780507,23616.1710938,789.2414001566846
57,23045.7007812,216.46318215365224,23616.3535158,787.7935880531593
58,23035.9499998,212.13073786915837,23615.008202999998,785.1658727134056
59,23024.378906,210.64873565085782,23610.4996094,787.0247285654614
60,23016.9171874,212.98114394273583,23610.3886718,786.9709977209936
61,23007.3769532,211.8711894443918,23609.5730468,782.8590821911438
62,22997.010547,211.8265772154302,23603.0675782,781.4718389635196
63,22988.2496092,213.71312315409068,23598.851172000002,778.8547563871066
64,22982.876562600002,213.69700199358078,23596.582421799998,781.8270736161161
65,22972.865625,218.34892779444726,23598.6667968,784.5898483072358
66,22965.720703,219.8456602186913,23598.68125,784.4252454757803
67,22955.715625,217.8417335025455,23596.055469000003,784.8355822221044
68,22947.6406252,218.52584012271265,23594.3902344,785.1068277229592
69,22940.5789062,220.1053693092447,23593.2425782,783.2956748904779
70,22932.482031400003,221.41500810379156,23592.2390626,786.4859675839143
71,22924.0027344,219.4093773907123,23590.619140400002,788.5391939992822
72,22919.4804688,218.9858836670117,23590.05625,788.6165700472385
73,22912.5109374,219.68462546909095,23589.2988282,790.1516402528729
74,22905.9023438,218.58873467748688,23589.3515626,794.005209574787
75,22900.444530999997,217.72933111483695,23589.9,791.6125176562123
76,22895.4722656,218.87755944170422,23590.8671876,791.7278579227225
77,22887.5769532,218.82941268385966,23588.769921799998,792.0336116155746
78,22879.627734600002,217.13619786260082,23588.2035156,792.8138365844435
79,22873.0625,215.62073841060015,23585.982421599998,791.6057459127234
80,22864.7492188,216.93889330836618,23581.1386718,792.1814835941007
81,22857.9152344,218.54038180782683,23580.3679688,793.2808792111953
82,22853.783593599997,218.81026335709808,23578.724218800002,791.7543028480407
83,22848.507422000002,219.90467447590754,23578.7,791.2564846540647
84,22845.0296876,218.82209250231568,23577.139453,793.4458694381328
