,train-rmse-mean,train-rmse-std,test-rmse-mean,test-rmse-std
0,30522.616015800002,170.48824570066807,30516.3671876,673.7090952407638
1,30522.5472656,170.49230968612116,30516.3050782,673.7108276929148
2,30522.4609376,170.49148441539631,30516.2222656,673.7101035273216
3,30522.357422,170.49246328053962,30516.1222656,673.7094385943867
4,30522.2339842,170.49243425640387,30515.98125,673.7205547472374
5,30522.04375,170.49614228946842,30515.8062498,673.7250074614136
6,30521.829296999997,170.49578346092548,30515.5796874,673.7190543111933
7,30521.5429688,170.49319936950025,30515.2890626,673.7227362765314
8,30521.1511718,170.49650530978425,30514.9164064,673.7191709247503
9,30520.678515400003,170.49671644640247,30514.446875,673.7179944182305
10,30520.102734199998,170.50178765157315,30513.8507814,673.706564048374
11,30519.314062600002,170.49960637780507,30513.0683592,673.7161601878945
12,30518.3574218,170.5032128339844,30512.0695314,673.7337586138582
13,30517.0660156,170.51392718580817,30510.7886718,673.7485407031214
14,30515.451172,170.51482118756374,30509.1558594,673.758498495445
15,30513.3906248,170.5205845578663,30507.05625,673.7765324564266
16,30510.7351562,170.53311680169412,30504.403906400003,673.830449130746
17,30507.3312502,170.53484789786395,30500.9972656,673.8442017872028
18,30502.9953124,170.5429653454314,30496.6492188,673.9231743879749
19,30497.502343599997,170.56374188950605,30491.1257812,673.9814061644212
20,30490.4855468,170.57445946753293,30484.1203126,674.0430004766969
21,30481.6191406,170.6037252520004,30475.221484600002,674.1323232887594
22,30470.3066408,170.64931366401353,30463.9753906,674.2469255112463
23,30456.2585938,170.67951007917813,30449.801172,674.3912563359439
24,30438.5074218,170.72126118002936,30432.0136718,674.5723833030703
25,30416.1921874,170.78403363009676,30409.766797,674.7948167758283
26,30388.508594000003,170.9026435472299,30382.134375200003,674.998595641881
27,30354.3460938,170.9323880862266,30347.9394532,675.3136223882108
28,30312.2957032,170.99013827902218,30305.9410154,675.7117937056915
29,30261.1109374,171.11873970996118,30254.809375,676.0541500362001
30,30199.294531400003,171.1828480229294,30193.0023438,676.538152243184
31,30125.0011718,171.2657386739898,30118.8960936,677.02247723347
32,30037.2226562,171.3258176220969,30031.2703126,677.5742624201124
33,29934.4589844,171.75123597832714,29928.704297,677.7747743898072
34,29814.9621096,172.0355389543381,29809.583203,678.0029395965762
35,29677.3667968,172.50766411185134,29672.4625,677.9578412073756
36,29522.108593599998,172.22982804331178,29517.942968800002,678.5501742089367
37,29349.9011718,171.92986053759842,29346.717578,678.7874925066166
38,29158.3039062,172.90309584464538,29156.301171799998,677.5124266040012
39,28950.0351562,171.69548229796854,28949.4417972,678.3133305184965
40,28727.026172,171.25190738445215,28728.021093800002,677.9272424793782
41,28491.035547,171.5045295203889,28493.4972656,676.415249182454
42,28244.6746092,171.38429249302666,28249.253125,675.1793352425603
43,27987.801172,173.6351018260713,27994.941796799998,671.2676457547785
44,27725.875781400002,172.27257879295075,27735.8820312,670.9173715624348
45,27461.392187800004,170.42053678905745,27475.0480468,671.1709275690948
46,27196.8097658,170.19192891216454,27214.3488282,669.6888270354624
47,26936.3593752,166.75976083190295,26958.726172000002,672.3332169378189
48,26681.450781400003,166.23181352387107,26708.6484376,672.3799617976233
49,26432.75,169.01896015610026,26464.722265800003,668.9784044162757
50,26191.019921799998,166.78637848727143,26228.9515626,672.2382606274734
51,25963.5707032,165.56258380917996,26006.5937502,674.4601843363641
52,25745.9445314,167.6147693112037,25794.139453400003,673.054211369269
53,25544.5742188,169.8007164915334,25599.0765626,673.015268131706
54,25352.3125,169.50908693493076,25414.2082032,676.4384677354818
55,25173.9191408,171.2304720164363,25244.466797,679.1031679269541
56,25011.182031199998,172.4500383054624,25087.775781199998,681.4203615244361
57,24858.2406252,174.69151537843118,24942.7371094,683.8895312710385
58,24718.4312502,173.8834024758493,24810.239453,690.015688654128
59,24592.426171799998,177.41120424066062,24692.0839844,691.7854480398206
60,24473.3953126,179.30344643818043,24580.607422,695.0155095211352
61,24363.670312399998,180.92080858993418,24478.850780999997,699.1249132710008
62,24265.389453,184.4578430181214,24387.998437399998,700.6390524916064
63,24174.5453126,186.4152907329169,24304.4050784,704.2851358026844
64,24090.6191406,190.79911208938884,24227.6433592,705.2947989593018
65,24012.933203200002,190.4059986438205,24157.0093752,711.9649508616334
66,23944.628125,191.46575518131647,24096.6746094,716.7896395796087
67,23883.4265626,194.22180079260357,24042.7488282,718.7166491444488
68,23828.2617188,195.20648209240537,23994.4597656,722.396082216412
69,23777.1617186,196.55740936304275,23950.286719,725.8764705549247
70,23731.3878908,195.8878508255459,23911.4609374,731.2129678189543
71,23688.795312399998,196.8263948370869,23876.063672,734.7376289041388
72,23649.013281400003,198.54630270352652,23843.5109374,737.8883308566955
73,23613.113671799998,199.47234115263768,23814.4601562,740.8800789024037
74,23580.470703400002,200.94206130361775,23789.0136718,743.3986615058324
75,23549.998437399998,201.62609893310338,23765.410546599996,746.3507767197378
76,23522.506640800002,201.79627184632292,23744.6925782,749.6424792921938
77,23497.753515800003,202.20382564884238,23726.3777344,752.131197009167
78,23475.0472654,202.897865083044,23710.570702999998,754.3673808452485
79,23454.129687400004,202.69479550551944,23695.7675782,757.7773598293356
80,23435.2578126,201.83718143483503,23682.746484199997,761.8213444433903
81,23416.2925778,201.8661410101419,23670.1625,765.1292937375448
82,23399.4757812,201.98455169756286,23659.565625,767.3321424969654
83,23383.788281200003,202.17118072128514,23649.8800782,769.6134206826245
84,23369.6289064,202.5263720061255,23642.2601564,771.7178664783843
85,23356.067578,202.59559161649173,23634.768749799998,773.5299966529612
86,23343.232031,202.2522078900585,23627.8628908,775.5393365023768
87,23331.9964844,203.16202275939364,23622.370703200002,776.6152015035829
88,23320.8683594,203.3309586827486,23616.947656199998,778.2570226388991
89,23310.6789062,203.67571543186696,23612.547656400002,779.6657075826023
90,23300.7945316,204.24622686868537,23608.064062600002,780.62957266849
91,23291.375,204.88663818762737,23604.751562600002,781.9545890799799
92,23282.348828,205.34784398884187,23600.999218599998,783.1196762904754
93,23273.099999799997,205.65562868984938,23597.9851562,784.7413054176598
94,23264.6910156,205.87417779166427,23595.0289062,785.6931149739443
95,23257.135156199998,206.1530708115358,23592.6347658,786.9941571617715
96,23249.4878906,206.46979737908183,23590.2511718,788.5306612690978
97,23242.2089842,206.54760105581582,23588.272265800002,789.4260600834778
98,23235.340234199997,205.94119004668966,23586.3613282,790.5748128529286
99,23228.4960938,206.21314476502673,23584.837109199998,791.0761160304322
100,23221.7039062,205.9155656111552,23583.5234376,792.1996494417518
101,23215.6515626,206.37062600029495,23582.071875200003,792.8253094038952
102,23209.1613282,206.73283445980934,23580.673828,794.0391118484674
103,23203.5789062,207.45928938201249,23579.5082032,794.5767689639531
104,23197.9308594,207.28526547172925,23578.4003908,795.4831781338593
105,23192.6214844,207.13995744830206,23577.705078,796.5624396545842
106,23186.8277344,207.41035368097485,23576.894922,797.0554778451287
107,23181.6839844,207.26451566966395,23576.2019532,797.6215828726448
108,23176.6460934,207.50649184130617,23575.6429688,798.6517901283273
109,23172.0222656,208.01029382965456,23575.278125,799.1728672818253
110,23167.2617188,208.20998093611323,23574.9640624,799.7857869355655
111,23162.1601562,208.20268897822365,23574.1332032,800.3102718171183
112,23157.458593800002,208.65477347303113,23573.651953,800.4565164427399
113,23152.7628906,209.2455018659304,23573.1160156,800.5029977786443
114,23148.4570312,209.35571182918585,23572.9613282,800.9027920334081
115,23143.978125200003,209.5457604429841,23572.5773438,801.217349823547
116,23139.7609376,209.7517210521662,23572.4871092,801.5795974004326
117,23135.5832032,210.19458198398561,23572.4703128,801.8823720398784
