,train-rmse-mean,train-rmse-std,test-rmse-mean,test-rmse-std
0,30522.6304686,170.4905787957096,30516.383202999998,673.7103708260763
1,30522.585937799995,170.48813807502583,30516.3410156,673.7093189795136
2,30522.5351562,170.49206693144103,30516.2929686,673.710655194962
3,30522.4671876,170.49215567811427,30516.2296874,673.7097735752164
4,30522.398047000002,170.49124156404528,30516.1625002,673.7091774718668
5,30522.3234376,170.49289477220955,30516.0777344,673.7124724649689
6,30522.226172000002,170.49261744414707,30515.970703,673.7218562877018
7,30522.088672,170.4945004454764,30515.8496096,673.7246869911118
8,30521.9421876,170.4945402829317,30515.697656199998,673.717622991408
9,30521.7601564,170.49566685804336,30515.516797,673.7217721400244
10,30521.5578126,170.4937035347316,30515.3007814,673.7228423715885
11,30521.2976562,170.49497128984285,30515.0429686,673.7237494331682
12,30520.973046799998,170.49397408824953,30514.7355468,673.7169548298953
13,30520.603515799994,170.49555721186243,30514.377734600002,673.7191651641904
14,30520.2007812,170.49890838463793,30513.947656199998,673.7045689787375
15,30519.6636718,170.5061860424064,30513.423046599997,673.7090798456057
16,30519.028125,170.502487300387,30512.784374799998,673.7317440733282
17,30518.3402344,170.5039970349613,30512.0460938,673.7370452115027
18,30517.4277344,170.51054854364068,30511.1511718,673.7371005158213
19,30516.3515626,170.51159751411015,30510.0785156,673.7611824018779
20,30515.1058594,170.51902228278556,30508.8121094,673.7630291774292
21,30513.583202799997,170.5216411463088,30507.2789062,673.7756442354528
22,30511.811328400003,170.5254440547308,30505.4726562,673.8140036008715
23,30509.651953,170.52603499651977,30503.33125,673.8447615794381
24,30507.1007812,170.5361561583226,30500.7566406,673.8547163884721
25,30504.0675782,170.54162070257073,30497.69375,673.9076965077638
26,30500.4289064,170.5419868922067,30494.0703124,673.9554358777955
27,30496.174999799998,170.57898272729864,30489.775781199998,674.003439853677
28,30491.066796799998,170.58609866963664,30484.726172000002,674.0426773230848
29,30485.117577999998,170.59101144423596,30478.7199218,674.1186831034554
30,30477.9972656,170.61379372851073,30471.6511718,674.1964111604948
31,30469.628125,170.62874669369052,30463.2964844,674.2867910902326
32,30459.8902344,170.66242443113762,30453.494922,674.4026546535108
33,30448.441796799998,170.65945772877575,30441.9972656,674.5205797645632
34,30435.0597656,170.63084356255456,30428.6628904,674.7442343839017
35,30419.4082032,170.64208823866502,30413.0261718,674.9366089083278
36,30401.2199218,170.67070020147105,30394.826953,675.1343231361566
37,30380.2011718,170.60399224495717,30373.8332032,675.473417700953
38,30355.8761718,170.56830067468624,30349.504296799998,675.7280806434084
39,30328.311718599998,170.27627386220752,30321.9656248,676.3827814941648
40,30296.5914062,169.73381761994514,30290.3230468,677.2949202051981
41,30260.3625,169.52548400319398,30254.1738282,677.9049061869871
42,30219.2148438,169.35629705770867,30213.0937502,678.4316088439355
43,30173.791406199998,169.1886555342255,30167.660547,678.8802687349098
