,train-rmse-mean,train-rmse-std,test-rmse-mean,test-rmse-std
0,30522.564453,170.4901070674895,30516.320702999998,673.7129726807945
1,30522.408593599997,170.49077793160464,30516.1726562,673.7103951587478
2,30522.1796876,170.4928902645342,30515.9296876,673.7216155542832
3,30521.8058594,170.49603979500017,30515.559765400005,673.7201870172262
4,30521.219531400002,170.49700371021362,30514.9835938,673.7232791216883
5,30520.355078,170.50004087516842,30514.0984374,673.7085967167402
6,30518.9636718,170.50314245603354,30512.7207032,673.7353372104111
7,30516.8691406,170.51051573519902,30510.5898438,673.748549446044
8,30513.585547000002,170.52060847205433,30507.285546799998,673.7734386799283
9,30508.5402346,170.52979051655055,30502.2148438,673.8559408809049
10,30500.7246094,170.54578052588397,30494.3753908,673.9578210075605
11,30488.7941406,170.58245937785114,30482.4148438,674.070581419094
12,30470.6160156,170.6418357581913,30464.2535156,674.2592255670156
13,30443.342578,170.69957500749382,30436.8976562,674.5439109440052
14,30402.577343599998,170.83056459010595,30396.16875,674.9471379152501
15,30342.9394532,170.9444316422758,30336.4820312,675.4968635886643
16,30257.1183594,171.0751325012536,30250.721875,676.2308395301836
17,30136.3558594,171.3276222332548,30130.1753906,677.0248458749213
18,29971.907031400002,172.16430239347542,29966.165625,677.3531767226023
19,29754.5484374,172.36263088798833,29749.645703,678.2183436120571
20,29477.8640626,173.2122748244748,29474.435937399998,678.0852308374319
21,29138.4859374,173.9930956295151,29137.9921874,677.1904281650209
22,28739.7625,177.52852942999928,28743.1785156,672.2906186055044
23,28289.0035156,178.01705928613563,28297.8992188,669.6619292013287
24,27803.9820312,180.0762908356133,27820.314843599997,664.9937081733416
25,27305.6054686,178.62857264094936,27333.336327999998,664.1812709358253
26,26811.2648438,178.90202931279046,26851.6640624,661.219508814313
27,26328.416405999997,175.33444459876296,26383.1027344,662.1772565776657
28,25887.1378906,172.89485732860493,25958.7972656,666.2918111174731
29,25484.7847654,179.78675151225954,25575.6203124,661.9441113012232
30,25127.5410158,175.57091878394021,25236.5496094,671.6074840595707
31,24811.2449218,179.73201007188115,24938.6628906,674.6240024606986
32,24540.8484378,178.30292772676086,24688.1707032,684.6891899248114
33,24315.1203126,178.4614832481819,24480.7164062,693.9967131645205
34,24118.808203200002,184.28753051728967,24304.282031000002,697.8520340789395
35,23957.5535154,186.79395403412838,24161.452343599998,705.9208419750084
36,23823.6339844,186.8874044957952,24043.8035156,716.293463989314
37,23714.382422000002,188.38915276199768,23952.459765800002,724.1006486707154
